X1,X2,Y
52,51,1
71,35,1
85,44,1
62,72,1
97,30,1
91,30,1
80,77,1
73,41,1
77,96,1
13,96,0
63,83,1
21,85,0
62,36,1
71,4,1
57,54,1
66,52,1
1,70,0
30,82,0
60,79,1
86,4,1
16,83,0
12,20,0
38,85,0
13,9,0
31,58,0
69,52,1
69,59,1
7,7,0
66,68,1
94,61,1
38,64,0
74,82,1
6,58,0
8,57,0
72,55,1
26,73,0
1,25,0
9,27,0
33,45,0
21,8,0
80,71,1
97,89,1
35,44,0
50,30,0
40,6,0
45,72,0
82,93,1
0,3,0
39,15,0
77,29,1
22,44,0
53,82,1
92,97,1
25,70,0
93,33,1
52,88,1
9,56,0
80,40,1
90,57,1
45,43,0
28,5,0
61,80,1
100,12,0
49,52,0
85,54,1
9,84,0
61,37,1
7,66,0
3,30,0
91,88,1
67,67,1
87,71,1
79,18,1
31,52,0
96,48,1
11,93,0
43,92,0
99,35,1
20,42,0
20,100,0
10,87,0
53,49,1
73,15,1
70,88,1
94,80,1
47,91,0
92,35,1
42,23,0
34,70,0
71,56,1
87,97,1
79,41,1
16,62,0
59,82,1
19,36,0
38,67,0
5,53,0
83,76,1
13,34,0
49,23,0
