X1,X2,Y
25,39,0
78,83,0
29,42,1
91,95,1
51,86,0
96,31,0
47,0,0
34,70,0
47,50,0
9,7,0
38,63,1
76,29,1
46,28,0
19,92,0
26,85,0
32,33,1
7,37,1
25,93,1
88,29,1
16,26,1
62,2,1
92,32,1
0,53,1
12,77,1
45,47,1
81,23,1
17,50,1
74,37,1
3,22,1
73,76,1
64,94,1
23,24,1
95,42,1
48,84,1
22,51,1
87,71,1
54,70,1
58,29,1
97,82,1
43,44,1
71,38,1
59,41,1
43,12,1
58,82,1
27,55,1
2,81,1
60,78,1
58,93,1
84,58,1
35,30,1
60,84,1
71,61,1
85,2,1
13,66,1
36,62,1
96,50,1
57,79,1
50,91,1
69,5,1
96,70,1
76,9,1
46,39,1
17,54,1
68,30,1
3,37,1
85,69,1
66,66,1
65,76,1
85,48,1
0,30,1
86,11,1
82,26,1
19,19,1
89,37,1
42,60,1
59,66,1
36,76,1
57,64,1
97,81,1
8,61,1
62,61,1
30,2,1
21,15,1
81,46,1
97,64,1
89,18,1
25,95,1
19,46,1
41,7,1
74,57,1
93,30,1
92,96,1
96,36,1
86,96,1
90,83,1
21,78,1
12,70,1
87,75,1
33,84,1
16,85,1
